title,url,difficulty,tags
Asteroid Collision,https://leetcode.com/problems/asteroid-collision/,Medium,stack
Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,Medium,stack
Online Stock Span,https://leetcode.com/problems/online-stock-span/,Medium,stack
Car Fleet,https://leetcode.com/problems/car-fleet/,Medium,stack
Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,stack
Decode String,https://leetcode.com/problems/decode-string/,Medium,stack
Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack/,Hard,stack
Largest Rectangle In Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,stack
Binary Search,https://leetcode.com/problems/binary-search/,Easy,binary search
Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,binary search
Guess Number Higher Or Lower,https://leetcode.com/problems/guess-number-higher-or-lower/,Easy,binary search
Sqrtx,https://leetcode.com/problems/sqrtx/,Easy,binary search
Search 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,binary search
Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,Medium,binary search
Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,Medium,binary search
Find Minimum In Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,binary search
Find Target In Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,binary search
Search In Rotated Sorted Array Ii,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,binary search
Time Based Key Value Store,https://leetcode.com/problems/time-based-key-value-store/,Medium,binary search
Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/,Hard,binary search
Median Of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,binary search
Find In Mountain Array,https://leetcode.com/problems/find-in-mountain-array,Hard,binary search
Reverse A Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,linked list
Merge Two Sorted Linked Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,linked list
Linked List Cycle Detection,https://leetcode.com/problems/linked-list-cycle/,Easy,linked list
Reorder Linked List,https://leetcode.com/problems/reorder-list/,Medium,linked list
Remove Node From End Of Linked List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,linked list
Copy Linked List With Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,linked list
Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,linked list
Find Duplicate Integer,https://leetcode.com/problems/find-the-duplicate-number/,Medium,linked list
Reverse Linked List Ii,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,linked list
Design Circular Queue,https://leetcode.com/problems/design-circular-queue/,Medium,linked list
Lru Cache,https://leetcode.com/problems/lru-cache/,Medium,linked list
Lfu Cache,https://leetcode.com/problems/lfu-cache/,Hard,linked list
Merge K Sorted Linked Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,linked list
Reverse Nodes In K Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,linked list
Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,Easy,trees
Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,Easy,trees
Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,Easy,trees
Invert A Binary Tree,https://leetcode.com/problems/invert-binary-tree/,Easy,trees
Depth Of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,trees
Binary Tree Diameter,https://leetcode.com/problems/diameter-of-binary-tree/,Easy,trees
Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,Easy,trees
Same Binary Tree,https://leetcode.com/problems/same-tree/,Easy,trees
Subtree Of A Binary Tree,https://leetcode.com/problems/subtree-of-another-tree/,Easy,trees
Lowest Common Ancestor In Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium,trees
Insert Into A Binary Search Tree,https://leetcode.com/problems/insert-into-a-binary-search-tree/,Medium,trees
Delete Node In A Bst,https://leetcode.com/problems/delete-node-in-a-bst/,Medium,trees
Level Order Traversal Of Binary Tree,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,trees
Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,trees
Construct Quad Tree,https://leetcode.com/problems/construct-quad-tree/,Medium,trees
Count Good Nodes In Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,Medium,trees
Valid Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,trees
Kth Smallest Integer In Bst,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,trees
Binary Tree From Preorder And Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,trees
House Robber Iii,https://leetcode.com/problems/house-robber-iii/,Medium,trees
Delete Leaves With A Given Value,https://leetcode.com/problems/delete-leaves-with-a-given-value,Medium,trees
Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,trees
Serialize And Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard,trees
Kth Largest Integer In A Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Easy,heap
Last Stone Weight,https://leetcode.com/problems/last-stone-weight/,Easy,heap
K Closest Points To Origin,https://leetcode.com/problems/k-closest-points-to-origin/,Medium,heap
Kth Largest Element In An Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,heap
Task Scheduling,https://leetcode.com/problems/task-scheduler/,Medium,heap
Design Twitter Feed,https://leetcode.com/problems/design-twitter/,Medium,heap
Single Threaded Cpu,https://leetcode.com/problems/single-threaded-cpu/,Medium,heap
Reorganize String,https://leetcode.com/problems/reorganize-string/,Medium,heap
Longest Happy String,https://leetcode.com/problems/longest-happy-string/,Medium,heap
Car Pooling,https://leetcode.com/problems/car-pooling/,Medium,heap
Find Median In A Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,heap
Ipo,https://leetcode.com/problems/ipo/,Hard,heap
Sum Of All Subset Xor Totals,https://leetcode.com/problems/sum-of-all-subset-xor-totals,Easy,backtracking
Subsets,https://leetcode.com/problems/subsets/,Medium,backtracking
Combination Target Sum,https://leetcode.com/problems/combination-sum/,Medium,backtracking
Combination Target Sum Ii,https://leetcode.com/problems/combination-sum-ii/,Medium,backtracking
Combinations,https://leetcode.com/problems/combinations/,Medium,backtracking
Permutations,https://leetcode.com/problems/permutations/,Medium,backtracking
Subsets Ii,https://leetcode.com/problems/subsets-ii/,Medium,backtracking
Permutations Ii,https://leetcode.com/problems/permutations-ii/,Medium,backtracking
Search For Word,https://leetcode.com/problems/word-search/,Medium,backtracking
Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,backtracking
Combinations Of A Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,backtracking
Matchsticks To Square,https://leetcode.com/problems/matchsticks-to-square/,Medium,backtracking
Partition To K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/,Medium,backtracking
N Queens,https://leetcode.com/problems/n-queens/,Hard,backtracking
N Queens Ii,https://leetcode.com/problems/n-queens-ii/,Hard,backtracking
Word Break Ii,https://leetcode.com/problems/word-break-ii,Hard,backtracking
Implement Prefix Tree,https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,tries
Design Word Search Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Medium,tries
Extra Characters In A String,https://leetcode.com/problems/extra-characters-in-a-string/,Medium,tries
Search For Word Ii,https://leetcode.com/problems/word-search-ii/,Hard,tries
Island Perimeter,https://leetcode.com/problems/island-perimeter/,Easy,graphs
Verifying An Alien Dictionary,https://leetcode.com/problems/verifying-an-alien-dictionary/,Easy,graphs
Find The Town Judge,https://leetcode.com/problems/find-the-town-judge,Easy,graphs
Count Number Of Islands,https://leetcode.com/problems/number-of-islands/,Medium,graphs
Max Area Of Island,https://leetcode.com/problems/max-area-of-island/,Medium,graphs
Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,graphs
Islands And Treasure,https://leetcode.com/problems/walls-and-gates/,Medium,graphs
Rotting Fruit,https://leetcode.com/problems/rotting-oranges/,Medium,graphs
Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium,graphs
Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,Medium,graphs
Open The Lock,https://leetcode.com/problems/open-the-lock/,Medium,graphs
Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,graphs
Course Schedule Ii,https://leetcode.com/problems/course-schedule-ii/,Medium,graphs
Valid Tree,https://leetcode.com/problems/graph-valid-tree/,Medium,graphs
Course Schedule Iv,https://leetcode.com/problems/course-schedule-iv/,Medium,graphs
Count Connected Components,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,Medium,graphs
Redundant Connection,https://leetcode.com/problems/redundant-connection/,Medium,graphs
Accounts Merge,https://leetcode.com/problems/accounts-merge/,Medium,graphs
Evaluate Division,https://leetcode.com/problems/evaluate-division/,Medium,graphs
Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees,Medium,graphs
Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,graphs
Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort/,Medium,advanced graphs
Network Delay Time,https://leetcode.com/problems/network-delay-time/,Medium,advanced graphs
Reconstruct Flight Path,https://leetcode.com/problems/reconstruct-itinerary/,Hard,advanced graphs
Min Cost To Connect Points,https://leetcode.com/problems/min-cost-to-connect-all-points/,Medium,advanced graphs
Swim In Rising Water,https://leetcode.com/problems/swim-in-rising-water/,Hard,advanced graphs
Foreign Dictionary,https://leetcode.com/problems/alien-dictionary/,Hard,advanced graphs
Cheapest Flight Path,https://leetcode.com/problems/cheapest-flights-within-k-stops/,Medium,advanced graphs
Find Critical And Pseudo Critical Edges In Minimum Spanning Tree,https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree/,Hard,advanced graphs
Build A Matrix With Conditions,https://leetcode.com/problems/build-a-matrix-with-conditions,Hard,advanced graphs
Greatest Common Divisor Traversal,https://leetcode.com/problems/greatest-common-divisor-traversal,Hard,advanced graphs
Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,dp 1d
Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/,Easy,dp 1d
N Th Tribonacci Number,https://leetcode.com/problems/n-th-tribonacci-number/,Easy,dp 1d
House Robber,https://leetcode.com/problems/house-robber/,Medium,dp 1d
House Robber Ii,https://leetcode.com/problems/house-robber-ii/,Medium,dp 1d
Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,dp 1d
Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,Medium,dp 1d
Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,dp 1d
Coin Change,https://leetcode.com/problems/coin-change/,Medium,dp 1d
Word Break,https://leetcode.com/problems/word-break/,Medium,dp 1d
Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,dp 1d
Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,dp 1d
Combination Sum Iv,https://leetcode.com/problems/combination-sum-iv/,Medium,dp 1d
Perfect Squares,https://leetcode.com/problems/perfect-squares/,Medium,dp 1d
Integer Break,https://leetcode.com/problems/integer-break/,Medium,dp 1d
Stone Game Iii,https://leetcode.com/problems/stone-game-iii/,Hard,dp 1d
Count Paths,https://leetcode.com/problems/unique-paths/,Medium,dp 1d
Unique Paths Ii,https://leetcode.com/problems/unique-paths-ii/,Medium,dp 2d
Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,dp 2d
Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Medium,dp 2d
Last Stone Weight Ii,https://leetcode.com/problems/last-stone-weight-ii/,Medium,dp 2d
Buy And Sell Crypto With Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,Medium,dp 2d
Coin Change Ii,https://leetcode.com/problems/coin-change-ii/,Medium,dp 2d
Target Sum,https://leetcode.com/problems/target-sum/,Medium,dp 2d
Interleaving String,https://leetcode.com/problems/interleaving-string/,Medium,dp 2d
Stone Game,https://leetcode.com/problems/stone-game/,Medium,dp 2d
Stone Game Ii,https://leetcode.com/problems/stone-game-ii/,Medium,dp 2d
Longest Increasing Path In Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,Hard,dp 2d
Count Subsequences,https://leetcode.com/problems/distinct-subsequences/,Hard,dp 2d
Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,dp 2d
Burst Balloons,https://leetcode.com/problems/burst-balloons/,Hard,dp 2d
Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,dp 2d
Lemonade Change,https://leetcode.com/problems/lemonade-change/,Easy,greedy
Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,greedy
Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray/,Medium,greedy
Longest Turbulent Subarray,https://leetcode.com/problems/longest-turbulent-subarray/,Medium,greedy
Jump Game,https://leetcode.com/problems/jump-game/,Medium,greedy
Jump Game Ii,https://leetcode.com/problems/jump-game-ii/,Medium,greedy
Jump Game Vii,https://leetcode.com/problems/jump-game-vii/,Medium,greedy
Gas Station,https://leetcode.com/problems/gas-station/,Medium,greedy
Hand Of Straights,https://leetcode.com/problems/hand-of-straights/,Medium,greedy
Merge Triplets To Form Target,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,Medium,greedy
Partition Labels,https://leetcode.com/problems/partition-labels/,Medium,greedy
Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string/,Medium,greedy
Candy,https://leetcode.com/problems/candy/,Hard,greedy
Insert New Interval,https://leetcode.com/problems/insert-interval/,Medium,intervals
Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,intervals
Non Overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Medium,intervals
Meeting Schedule,https://leetcode.com/problems/meeting-rooms/,Easy,intervals
Meeting Schedule Ii,https://leetcode.com/problems/meeting-rooms-ii/,Medium,intervals
Meeting Rooms Iii,https://leetcode.com/problems/meeting-rooms-iii,Hard,intervals
Minimum Interval Including Query,https://leetcode.com/problems/minimum-interval-to-include-each-query/,Hard,intervals
Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title/,Easy,math
Greatest Common Divisor Of Strings,https://leetcode.com/problems/greatest-common-divisor-of-strings/,Easy,math
Insert Greatest Common Divisors In Linked List,https://leetcode.com/problems/insert-greatest-common-divisors-in-linked-list/,Medium,math
Transpose Matrix,https://leetcode.com/problems/transpose-matrix,Easy,math
Rotate Matrix,https://leetcode.com/problems/rotate-image/,Medium,math
Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,math
Set Zeroes In Matrix,https://leetcode.com/problems/set-matrix-zeroes/,Medium,math
Non Cyclical Number,https://leetcode.com/problems/happy-number/,Easy,math
Plus One,https://leetcode.com/problems/plus-one/,Easy,math
Roman To Integer,https://leetcode.com/problems/roman-to-integer/,Easy,math
Pow X N,https://leetcode.com/problems/powx-n/,Medium,math
Multiply Strings,https://leetcode.com/problems/multiply-strings/,Medium,math
Count Squares,https://leetcode.com/problems/detect-squares/,Medium,math
Single Number,https://leetcode.com/problems/single-number/,Easy,bit manipulation
Number Of One Bits,https://leetcode.com/problems/number-of-1-bits/,Easy,bit manipulation
Counting Bits,https://leetcode.com/problems/counting-bits/,Easy,bit manipulation
Add Binary,https://leetcode.com/problems/add-binary/,Easy,bit manipulation
Reverse Bits,https://leetcode.com/problems/reverse-bits/,Easy,bit manipulation
Missing Number,https://leetcode.com/problems/missing-number/,Easy,bit manipulation
Sum Of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,Medium,bit manipulation
Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,bit manipulation
Bitwise And Of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range,Medium,bit manipulation
Minimum Array End,https://leetcode.com/problems/minimum-array-end/,Medium,bit manipulation
Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,Arrays
Jump Game IV,https://leetcode.com/problems/jump-game-iv,Hard,Stack
